aNO,aNP,BrainSum
0.83483,0.89234,9.73E+09
0.93406,0.85559,9.72E+09
0.9349,0.86823,9.71E+09
0.95329,0.88401,9.75E+09
1.01,0.85461,9.76E+09
1.0097,0.86598,9.74E+09
1.059,0.89606,9.74E+09
1.1012,0.87862,9.73E+09
1.1522,0.86216,9.73E+09
1.1863,0.85599,9.72E+09
1.0484,0.83491,9.73E+09
0.97097,0.88019,9.73E+09
0.96915,0.87607,9.74E+09
0.85546,0.84207,9.74E+09
0.94262,0.87637,9.73E+09
1.0006,0.87068,9.73E+09
0.94992,0.89665,9.73E+09
0.91146,0.87695,9.73E+09
0.86458,0.89704,9.73E+09
0.86416,0.85726,9.73E+09
