X,Y,Z
10.367,5.6119,34.217
9.1312,4.094,33.147
7.8885,3.0532,31.737
6.7413,2.441,30.17
5.7532,2.1675,28.568
4.9532,2.1408,27.001
4.3453,2.287,25.506
3.919,2.5553,24.101
3.6574,2.9167,22.796
3.5431,3.3596,21.598
3.5615,3.885,20.515
3.7024,4.5027,19.559
3.9608,5.2283,18.747
4.3368,6.08,18.104
4.8343,7.0755,17.665
5.4598,8.2268,17.478
6.2196,9.5332,17.604
7.1161,10.969,18.123
8.1408,12.469,19.119
9.2666,13.908,20.67
10.437,15.093,22.806
11.557,15.774,25.462
12.497,15.695,28.427
13.106,14.698,31.334
13.258,12.833,33.732
12.889,10.387,35.247
12.035,7.7958,35.719
10.822,5.4679,35.243
9.4178,3.6538,34.078
7.9901,2.4181,32.51
6.6659,1.6957,30.772
5.5225,1.367,29.008
4.593,1.3122,27.298
3.8789,1.4361,25.677
3.3644,1.6746,24.155
3.0258,1.9908,22.738
2.8393,2.3687,21.425
2.7846,2.8074,20.218
2.8468,3.3162,19.122
3.0175,3.9118,18.144
3.2941,4.6155,17.299
3.6801,5.4522,16.607
4.1837,6.4479,16.101
4.8167,7.6259,15.827
5.5928,9.0006,15.852
6.5237,10.566,16.263
7.613,12.277,17.169
8.8469,14.025,18.685
10.181,15.613,20.902
11.524,16.744,23.824
12.734,17.063,27.282
13.623,16.277,30.881
14.005,14.322,34.045
13.759,11.48,36.211
12.89,8.3076,37.075
11.531,5.3879,36.701
9.8951,3.1014,35.422
8.201,1.5557,33.637
6.6175,0.66214,31.659
5.2457,0.25212,29.679
4.1259,0.15876,27.786
3.2567,0.25275,26.011
2.6134,0.44804,24.357
2.1622,0.69469,22.819
1.8688,0.96888,21.387
1.7033,1.2642,20.056
1.6426,1.5852,18.82
1.6704,1.9437,17.676
1.7772,2.3565,16.626
1.9599,2.8442,15.67
2.2211,3.4314,14.818
2.5686,4.1468,14.081
3.0154,5.0233,13.482
3.5792,6.097,13.055
4.2822,7.4049,12.854
5.1491,8.9778,12.959
6.204,10.827,13.482
7.4638,12.918,14.576
8.9248,15.132,16.422
10.544,17.216,19.186
12.211,18.75,22.928
13.733,19.187,27.453
14.84,18.049,32.184
15.255,15.243,36.233
14.808,11.27,38.757
13.535,7.0459,39.404
11.665,3.4269,38.446
9.5251,0.84127,36.497
7.4074,-0.71921,34.145
5.5086,-1.4955,31.765
3.9208,-1.7697,29.529
2.6587,-1.7704,27.484
1.6914,-1.6526,25.622
0.9683,-1.5093,23.919
0.43462,-1.3911,22.352
0.039747,-1.3222,20.903
-0.25928,-1.3128,19.559
-0.49735,-1.3667,18.31
-0.70219,-1.4862,17.15
-0.89604,-1.675,16.074
-1.0974,-1.9397,15.081
-1.3225,-2.2913,14.17
-1.5871,-2.7458,13.345
-1.9076,-3.3252,12.612
-2.3024,-4.0578,11.987
-2.793,-4.9787,11.491
-3.4043,-6.1289,11.166
-4.1656,-7.5523,11.071
-5.1087,-9.2881,11.3
-6.2651,-11.353,11.99
-7.6575,-13.709,13.329
-9.284,-16.212,15.541
-11.092,-18.539,18.84
-12.944,-20.148,23.289
-14.593,-20.346,28.598
-15.7,-18.578,33.971
-15.941,-14.873,38.257
-15.158,-10.04,40.513
-13.466,-5.2852,40.551
-11.201,-1.5334,38.933
-8.7568,0.9153,36.48
-6.4469,2.2423,33.829
-4.4493,2.8051,31.312
-2.8243,2.9347,29.041
-1.5561,2.8678,27.017
-0.59098,2.7511,25.203
0.13751,2.667,23.564
0.69435,2.6578,22.072
1.1368,2.7445,20.709
1.5127,2.9379,19.464
1.8612,3.246,18.335
2.215,3.6788,17.323
2.6019,4.2498,16.437
3.0471,4.9775,15.692
3.5751,5.8843,15.114
4.2098,6.9949,14.745
4.9755,8.3306,14.644
5.8942,9.9003,14.898
6.9823,11.683,15.618
8.2417,13.6,16.942
9.647,15.485,19.004
11.128,17.048,21.885
12.551,17.889,25.51
13.722,17.591,29.551
14.411,15.921,33.401
14.43,13.032,36.34
13.718,9.4925,37.851
12.378,6.0355,37.859
10.635,3.221,36.694
8.7543,1.2674,34.841
6.9518,0.10926,32.716
5.3647,-0.45108,30.576
4.0529,-0.62383,28.541
3.0211,-0.57587,26.648
2.2422,-0.41993,24.897
1.6756,-0.22319,23.276
1.279,-0.020507,21.771
1.0142,0.17402,20.369
0.84976,0.3586,19.061
0.76184,0.53835,17.84
0.7334,0.72202,16.701
0.75336,0.92045,15.639
0.81568,1.146,14.65
0.91856,1.4126,13.732
1.0639,1.7365,12.884
1.2572,2.137,12.107
1.5074,2.6374,11.406
1.8271,3.2664,10.789
2.2335,4.0593,10.273
2.7482,5.0585,9.8841
3.3986,6.313,9.6684
4.2171,7.8753,9.6972
5.2402,9.7912,10.081
6.5037,12.079,10.983
8.0326,14.686,12.629
9.8202,17.422,15.291
11.795,19.871,19.205
13.777,21.346,24.394
15.454,21.024,30.397
16.424,18.374,36.135
16.345,13.697,40.238
15.126,8.183,41.833
12.999,3.2328,41.063
10.4,-0.33248,38.802
7.7583,-2.4431,35.98
5.3691,-3.4543,33.187
3.3693,-3.7957,30.664
1.7796,-3.8051,28.453
0.55557,-3.7008,26.515
-0.37436,-3.6088,24.799
-1.0864,-3.5954,23.265
-1.6505,-3.6935,21.886
-2.126,-3.9191,20.649
-2.5618,-4.2819,19.549
-2.9981,-4.7907,18.594
-3.4683,-5.4565,17.795
-4.0011,-6.2922,17.177
-4.6218,-7.311,16.778
-5.3525,-8.5212,16.65
-6.211,-9.9172,16.866
-7.207,-11.466,17.514
-8.3354,-13.085,18.696
-9.5668,-14.625,20.498
-10.835,-15.851,22.953
-12.029,-16.461,25.967
-12.995,-16.167,29.266
-13.56,-14.819,32.394
-13.59,-12.538,34.829
-13.038,-9.7201,36.184
-11.974,-6.8896,36.364
-10.561,-4.4801,35.559
-8.999,-2.7059,34.106
-7.4654,-1.5725,32.323
-6.0836,-0.96457,30.441
-4.919,-0.73278,28.587
-3.9909,-0.74506,26.821
-3.2893,-0.90495,25.162
-2.7891,-1.1515,23.614
-2.4606,-1.452,22.173
-2.2762,-1.7944,20.835
-2.2132,-2.1801,19.599
-2.2554,-2.6199,18.464
-2.3934,-3.1311,17.434
-2.6243,-3.7359,16.518
-2.9512,-4.4603,15.728
-3.3826,-5.334,15.088
-3.9321,-6.3879,14.632
-4.6168,-7.6517,14.414
-5.4559,-9.146,14.506
-6.4667,-10.869,15.014
-7.6577,-12.776,16.067
-9.017,-14.742,17.811
-10.496,-16.532,20.367
-11.989,-17.78,23.747
-13.322,-18.044,27.742
-14.269,-16.968,31.85
-14.606,-14.51,35.345
-14.202,-11.089,37.558
-13.089,-7.4313,38.199
-11.456,-4.2308,37.457
-9.5685,-1.8655,35.803
-7.6775,-0.37099,33.716
-5.9592,0.42077,31.532
-4.5051,0.73318,29.422
-3.3395,0.76029,27.453
-2.4447,0.64053,25.633
-1.7824,0.46038,23.952
-1.3086,0.26761,22.393
-0.98129,0.084446,20.944
-0.76506,-0.082333,19.594
-0.6318,-0.23457,18.333
-0.5606,-0.37855,17.155
-0.53685,-0.52266,16.054
-0.55115,-0.67636,15.027
