X,Y,Z
3.6794,-2.173,0.07108
3.8044,-1.9651,0.074669
3.9159,-1.7471,0.078376
4.0132,-1.5198,0.082176
4.0958,-1.2839,0.086034
4.1631,-1.0404,0.089908
4.2149,-0.79003,0.093745
4.2505,-0.53376,0.097486
4.2697,-0.27252,0.10106
4.2723,-0.0072965,0.1044
4.258,0.26091,0.10741
4.2267,0.53107,0.11002
4.1783,0.80214,0.11213
4.1129,1.0731,0.11368
4.0304,1.3428,0.11458
3.9312,1.6101,0.11477
3.8154,1.8741,0.11421
3.6832,2.1337,0.11288
3.5351,2.3877,0.11078
3.3715,2.6351,0.10793
3.1928,2.8748,0.1044
2.9996,3.1059,0.10026
2.7926,3.3274,0.09561
2.5724,3.5382,0.090565
2.3396,3.7374,0.085253
2.0951,3.9241,0.079801
1.8397,4.0974,0.074334
1.5742,4.2566,0.068965
1.2995,4.4008,0.063791
1.0167,4.5292,0.058891
0.72656,4.6413,0.054322
0.43023,4.7363,0.050119
0.12875,4.8138,0.046299
-0.1768,4.8731,0.042863
-0.48528,4.9138,0.039796
-0.79556,4.9357,0.037076
-1.1065,4.9382,0.034673
-1.4168,4.9213,0.032557
-1.7253,4.8846,0.030693
-2.0309,4.8282,0.029052
-2.3322,4.752,0.027604
-2.6281,4.656,0.026324
-2.9173,4.5405,0.02519
-3.1986,4.4055,0.024182
-3.4708,4.2514,0.023284
-3.7328,4.0786,0.022483
-3.9834,3.8874,0.021768
-4.2214,3.6785,0.02113
-4.4458,3.4524,0.02056
-4.6556,3.2098,0.020052
-4.8496,2.9514,0.019601
-5.0271,2.678,0.019202
-5.187,2.3906,0.018851
-5.3285,2.0901,0.018546
-5.4508,1.7775,0.018283
-5.5532,1.4538,0.01806
-5.6351,1.1203,0.017877
-5.6959,0.7781,0.01773
-5.735,0.42841,0.017619
-5.7521,0.072527,0.017544
-5.7468,-0.28822,0.017504
-5.7188,-0.65247,0.017498
-5.668,-1.0189,0.017527
-5.5942,-1.3859,0.017591
-5.4976,-1.7523,0.017691
-5.3781,-2.1165,0.017828
-5.2359,-2.4771,0.018003
-5.0714,-2.8326,0.018218
-4.8848,-3.1815,0.018474
-4.6767,-3.5225,0.018774
-4.4476,-3.854,0.019122
-4.1982,-4.1746,0.019519
-3.929,-4.4829,0.019971
-3.6411,-4.7777,0.020482
-3.3352,-5.0575,0.021056
-3.0123,-5.321,0.021701
-2.6736,-5.5671,0.022423
-2.32,-5.7945,0.023231
-1.9529,-6.0021,0.024135
-1.5735,-6.1889,0.025145
-1.1832,-6.3538,0.026275
-0.78332,-6.496,0.02754
-0.37536,-6.6145,0.028958
0.039182,-6.7087,0.030551
0.45874,-6.7778,0.032344
0.88173,-6.8213,0.034366
1.3065,-6.8386,0.036652
1.7314,-6.8295,0.039244
2.1548,-6.7936,0.042192
2.5748,-6.7307,0.045557
2.99,-6.6407,0.049409
3.3984,-6.5237,0.053835
3.7983,-6.3798,0.05894
4.1882,-6.2092,0.064849
4.5661,-6.0123,0.071715
4.9305,-5.7896,0.079721
5.2797,-5.5416,0.089092
5.612,-5.2691,0.1001
5.9258,-4.9728,0.11306
6.2195,-4.6536,0.12836
6.4915,-4.3126,0.14649
6.7404,-3.951,0.16797
6.9646,-3.5698,0.19345
7.1626,-3.1706,0.22368
7.3332,-2.7547,0.25949
7.4748,-2.3237,0.3018
7.5863,-1.8794,0.35158
7.6662,-1.4234,0.40979
7.7135,-0.95758,0.47731
7.7268,-0.484,0.55483
7.7052,-0.0046881,0.64262
7.6477,0.4782,0.74042
7.5536,0.96244,0.84713
7.4224,1.4457,0.96061
7.2538,1.9257,1.0775
7.0481,2.3999,1.1931
6.806,2.8661,1.3016
6.5286,3.3218,1.3961
6.2179,3.7648,1.4694
5.8761,4.1929,1.5149
5.5062,4.6039,1.5272
5.1115,4.9962,1.5033
4.6955,5.3678,1.4431
4.2618,5.7174,1.3495
3.8136,6.0437,1.2286
3.354,6.3455,1.0883
2.8854,6.6219,0.93782
2.4097,6.8722,0.78627
1.9286,7.0955,0.64164
1.443,7.2912,0.51012
0.95378,7.4587,0.39568
0.46152,7.5974,0.30011
-0.033129,7.7069,0.22335
-0.52946,7.7866,0.16391
-1.0266,7.8361,0.11944
-1.5235,7.8549,0.08722
-2.019,7.8427,0.064551
-2.5115,7.7993,0.048994
-2.9996,7.7246,0.038522
-3.4815,7.6183,0.031553
-3.9554,7.4807,0.026919
-4.4196,7.3118,0.023799
